description,claim_type
I need to claim for Traffic accident with injuries,accident
Claim submission: Third party liability claim,other
Regarding Business equipment stolen - please process,theft
Emergency Wallet stolen with credit cards situation,theft
Jewelry stolen during vacation last week,theft
I need to claim for Traffic accident with injuries last week last week,accident
I need to claim for Shoplifting incident,theft
Emergency Pregnancy and delivery costs situation,medical
Emergency Regarding Wallet stolen with credit cards - please process situation,theft
Claim submission: Eye surgery for cataract last week,medical
Emergency Burglary at home during night situation,theft
Regarding Package stolen from doorstep - please process,theft
I had a motorcycle accident while riding last week,accident
Emergency Emergency Wallet stolen with credit cards situation situation,theft
Claim submission: Emergency Doctor consultation and medication situation,medical
I need to claim for Emergency Emergency Wallet stolen with credit cards situation situation,theft
Emergency Hospital bill for appendectomy situation,medical
Regarding Pregnancy and delivery costs - please process,medical
I need to claim for Burglary at home during night last week,theft
Regarding I need to claim for Traffic accident with injuries - please process,accident
I need to claim for Workplace accident with machinery,accident
Regarding Travel insurance claim - please process,other
I need to claim for Emergency room visit for fever,medical
Hospitalized for heart surgery last week,medical
Regarding Travel insurance claim - please process,other
Natural disaster damage to home last week,other
Emergency My car was stolen from parking lot situation,theft
